         353.40,         353.40,         353.40,         353.40,           0.00
         353.40,         359.69,         351.98,         359.69,   162070000.00
         359.69,         360.59,         357.89,         358.76,   192330000.00
         358.76,         358.76,         352.89,         355.67,   177000000.00
         355.67,         355.67,         351.35,         352.20,   158530000.00
         352.20,         354.24,         350.54,         353.79,   140110000.00
         353.83,         354.17,         349.61,         349.62,   155210000.00
         349.62,         349.62,         344.32,         347.31,   175990000.00
         347.31,         350.14,         347.31,         348.53,   154390000.00
         348.53,         348.53,         339.49,         339.93,   183880000.00
         339.93,         339.94,         336.57,         337.00,   140590000.00
         337.00,         340.75,         333.37,         340.75,   186070000.00
         340.77,         342.01,         336.26,         337.40,   170470000.00
         337.40,         338.38,         333.98,         338.19,   178590000.00
         338.19,         340.48,         338.19,         339.15,   185590000.00
         339.14,         339.96,         330.28,         330.38,   148380000.00
         330.38,         332.76,         328.67,         331.61,   179300000.00
         331.61,         331.71,         324.17,         330.26,   207830000.00
         330.26,         332.33,         325.33,         326.08,   172270000.00
         326.09,         328.58,         321.44,         325.80,   198190000.00
         325.80,         327.31,         321.79,         325.20,   150770000.00
         325.20,         325.73,         319.83,         322.98,   186030000.00
         322.98,         329.08,         322.98,         329.08,   189660000.00
         329.08,         329.86,         327.76,         328.79,   154580000.00
         328.79,         332.10,         328.09,         330.92,   164400000.00
         330.92,         332.16,         330.45,         331.85,   130950000.00
         331.85,         331.86,         328.20,         329.66,   134070000.00
         329.66,         333.76,         326.55,         333.75,   186710000.00
         333.75,         336.09,         332.00,         332.96,   176240000.00
         333.02,         334.60,         332.41,         333.62,   146910000.00
         333.62,         333.62,         329.97,         330.08,   118390000.00
         330.08,         331.61,         327.92,         331.02,   144490000.00
         331.02,         333.20,         330.64,         332.01,   138530000.00
         332.01,         335.21,         331.61,         334.89,   174620000.00
         332.72,         332.72,         332.72,         332.72,           0.00
         332.72,         332.72,         332.72,         332.72,           0.00
         332.72,         332.72,         326.26,         327.99,   147300000.00
         327.91,         328.17,         324.47,         327.67,   159240000.00
         327.67,         330.98,         325.70,         325.70,   184320000.00
         325.70,         326.15,         322.10,         324.15,   148490000.00
         324.16,         328.67,         323.98,         328.67,   148900000.00
         328.68,         331.94,         328.47,         330.26,   152590000.00
         330.26,         333.48,         330.16,         331.89,   184400000.00
         331.89,         334.40,         331.08,         332.74,   157930000.00
         332.74,         335.54,         332.72,         335.54,   164330000.00
         335.54,         336.38,         333.49,         333.74,   140110000.00
         333.74,         337.93,         333.57,         337.93,   143640000.00
         337.93,         338.84,         336.33,         336.95,   163580000.00
         336.95,         340.66,         336.95,         340.27,   170900000.00
         340.12,         340.27,         336.84,         337.93,   150410000.00
         337.93,         339.08,         336.14,         338.67,   114790000.00
         338.67,         338.67,         335.36,         336.00,   145440000.00
         336.00,         337.63,         334.93,         336.87,   145060000.00
         336.87,         338.91,         336.87,         338.07,   144410000.00
         338.07,         341.91,         338.07,         341.91,   222520000.00
         341.91,         343.76,         339.12,         343.53,   142300000.00
         343.53,         344.49,         340.87,         341.57,   177320000.00
         341.57,         342.34,         339.56,         339.74,   130990000.00
         339.74,         339.77,         333.62,         335.69,   175930000.00
         335.69,         337.58,         335.69,         337.22,   132070000.00
         337.22,         339.74,         337.22,         337.63,   116110000.00
         337.63,         341.50,         337.03,         341.50,   131610000.00
         341.50,         342.58,         340.60,         342.00,   142300000.00
         342.00,         342.07,         339.77,         340.79,   132190000.00
         340.79,         341.41,         338.21,         339.94,   139340000.00
         339.94,         339.94,         336.33,         338.70,   124360000.00
         338.70,         343.76,         338.70,         343.64,   154310000.00
         343.64,         344.12,         340.40,         341.09,   159530000.00
         341.09,         342.85,         340.63,         340.73,   144170000.00
         340.73,         341.73,         338.94,         340.08,   137490000.00
         340.08,         341.83,         339.88,         341.37,   114970000.00
         341.37,         342.41,         340.62,         342.07,   136020000.00
         342.07,         343.00,         341.26,         341.92,   141080000.00
         344.34,         344.34,         344.34,         344.34,           0.00
         344.34,         344.34,         344.34,         344.34,           0.00
         344.34,         347.30,         344.10,         344.74,   142810000.00
         344.74,         345.19,         342.06,         344.68,   127990000.00
         344.68,         345.33,         340.11,         340.72,   147130000.00
         340.72,         340.72,         337.59,         338.09,   152930000.00
         338.09,         338.52,         333.41,         335.12,   174260000.00
         335.12,         335.12,         330.09,         331.05,   136150000.00
         331.05,         332.97,         329.71,         330.36,   137360000.00
         330.36,         332.74,         330.36,         332.03,   133480000.00
         332.03,         333.76,         330.67,         332.92,   141330000.00
         332.92,         333.57,         328.71,         329.11,   130630000.00
         329.11,         331.31,         327.76,         330.80,   122750000.00
         330.80,         332.83,         330.80,         332.25,   149020000.00
         332.25,         334.48,         332.15,         334.48,   141610000.00
         334.48,         337.02,         334.47,         335.57,   145560000.00
         335.58,         338.46,         335.17,         338.39,   140550000.00
         338.39,         341.07,         338.11,         340.53,   132760000.00
         340.53,         342.03,         340.17,         342.01,   144230000.00
         342.01,         343.08,         340.90,         342.86,   152220000.00
