         329.11,         331.31,         327.76,         330.80,           0.00,   122750000.00,         330.80,         332.83,         330.80,         332.25,           0.00,   149020000.00,         332.25,         334.48,         332.15,         334.48,           0.00,   141610000.00,         334.48,         337.02,         334.47,         335.57,           0.00,   145560000.00,         335.58,         338.46,         335.17,         338.39,           0.00,   140550000.00
         338.39,         341.07,         338.11,         340.53,           0.00,   132760000.00,         340.53,         342.03,         340.17,         342.01,           0.00,   144230000.00,         342.01,         343.08,         340.90,         342.86,           0.00,   152220000.00,         342.87,         344.98,         342.77,         343.82,           0.00,   158460000.00,         343.82,         352.31,         343.82,         352.00,           0.00,   234040000.00
         352.00,         358.41,         351.95,         354.75,           0.00,   225410000.00,         354.75,         355.09,         352.84,         354.28,           0.00,   165730000.00,         354.27,         354.68,         351.95,         354.00,           0.00,   159810000.00,         354.00,         356.92,         354.00,         354.47,           0.00,   164770000.00,         354.47,         354.64,         352.52,         354.64,           0.00,   162520000.00
         354.64,         359.07,         353.78,         358.00,           0.00,   166280000.00,         358.00,         360.50,         356.09,         358.43,           0.00,   203350000.00,         358.43,         359.29,         356.99,         359.29,           0.00,   172330000.00,         359.29,         359.56,         357.87,         358.41,           0.00,   155140000.00,         354.58,         354.58,         354.58,         354.58,           0.00,           0.00
         354.58,         354.58,         354.58,         354.58,           0.00,           0.00,         354.58,         360.65,         354.55,         360.65,           0.00,   137410000.00,         360.65,         362.26,         360.00,         360.86,           0.00,   199540000.00,         360.86,         361.84,         360.23,         361.23,           0.00,   165690000.00,         361.26,         363.52,         361.21,         363.16,           0.00,   187860000.00
         363.16,         367.85,         362.43,         367.40,           0.00,   175520000.00,         367.40,         368.78,         365.49,         366.64,           0.00,   199720000.00,         366.64,         366.64,         364.42,         364.96,           0.00,   164030000.00,         365.92,         365.92,         361.60,         363.15,           0.00,   160360000.00,         363.15,         363.49,         357.68,         358.71,           0.00,   142600000.00
         358.71,         361.63,         357.70,         361.63,           0.00,   119550000.00,         361.63,         367.27,         361.15,         366.25,           0.00,   157100000.00,         366.25,         367.09,         364.51,         364.90,           0.00,   158910000.00,         364.90,         364.90,         361.64,         362.90,           0.00,   135770000.00,         362.89,         363.14,         360.71,         362.91,           0.00,   205130000.00
         362.91,         362.91,         356.88,         356.88,           0.00,   133470000.00,         356.88,         358.90,         356.18,         358.47,           0.00,   134930000.00,         358.47,         359.91,         357.00,         359.10,           0.00,   137420000.00,         359.10,         360.88,         357.63,         360.47,           0.00,   138570000.00,         360.52,         363.20,         355.31,         355.43,           0.00,   172570000.00
         355.42,         356.41,         351.91,         352.31,           0.00,   133100000.00,         352.32,         356.09,         351.85,         352.06,           0.00,   141420000.00,         352.06,         355.89,         351.23,         355.14,           0.00,   146620000.00,         355.16,         357.63,         355.16,         357.63,           0.00,   136120000.00,         357.64,         359.09,         357.30,         358.02,           0.00,   145510000.00
         358.02,         359.58,         357.54,         359.54,           0.00,   130200000.00,         360.16,         360.16,         360.16,         360.16,           0.00,           0.00,         360.16,         360.16,         360.16,         360.16,           0.00,           0.00,         360.16,         360.16,         354.86,         355.68,           0.00,   128320000.00,         355.69,         359.02,         354.64,         358.42,           0.00,   111730000.00
         358.42,         360.05,         358.11,         359.52,           0.00,   119390000.00,         359.52,         359.74,         356.41,         356.49,           0.00,   147630000.00,         356.49,         361.23,         356.49,         361.23,           0.00,   162220000.00,         361.23,         365.46,         360.57,         365.44,           0.00,   213180000.00,         365.45,         369.68,         365.45,         367.31,           0.00,   215600000.00
         367.31,         369.78,         367.31,         368.95,           0.00,   149430000.00,         368.95,         369.40,         364.99,         367.52,           0.00,   176790000.00,         367.52,         367.52,         362.95,         364.22,           0.00,   168760000.00,         364.22,         365.32,         361.29,         365.32,           0.00,   161990000.00,         365.32,         366.64,         361.58,         361.61,           0.00,   177810000.00
         361.61,         361.61,         350.09,         355.31,           0.00,   209030000.00,         355.31,         356.09,         351.46,         355.79,           0.00,   181920000.00,         355.79,         357.52,         354.80,         357.09,           0.00,   163530000.00,         357.09,         357.47,         353.95,         355.91,           0.00,   155040000.00,         355.90,         355.94,         352.14,         353.44,           0.00,   149070000.00
         353.44,         355.55,         351.15,         355.55,           0.00,   146470000.00,         355.55,         357.54,         353.91,         356.15,           0.00,   175380000.00,         356.15,         357.35,         353.82,         355.52,           0.00,   178260000.00,         355.52,         355.52,         349.73,         351.48,           0.00,   253090000.00,         351.48,         351.48,         338.20,         344.86,           0.00,   295880000.00
         344.86,         344.86,         333.27,         334.43,           0.00,   240400000.00,         334.43,         338.63,         332.22,         334.83,           0.00,   231580000.00,         334.83,         339.21,         334.83,         338.35,           0.00,   190400000.00,         338.35,         340.56,         337.56,         339.94,           0.00,   155810000.00,         339.90,         339.90,         334.22,         335.52,           0.00,   145340000.00
         335.39,         338.88,         332.02,         338.84,           0.00,   122820000.00,         338.84,         340.96,         337.19,         339.39,           0.00,   130320000.00,         339.39,         341.92,         339.38,         340.06,           0.00,   136710000.00,         340.06,         340.06,         332.39,         332.39,           0.00,   138850000.00,         332.36,         332.36,         324.63,         327.83,           0.00,   212560000.00
